IID	Ethnicity
HG01593	1000g_SAS
HG01595	1000g_EAS
HG01596	1000g_EAS
HG01597	1000g_EAS
HG01598	1000g_EAS
HG01599	1000g_EAS
HG01600	1000g_EAS
HG01602	1000g_EUR
HG01603	1000g_EUR
HG01605	1000g_EUR
HG01606	1000g_EUR
HG01607	1000g_EUR
HG01608	1000g_EUR
HG01610	1000g_EUR
HG01612	1000g_EUR
HG01613	1000g_EUR
HG01615	1000g_EUR
HG01617	1000g_EUR
HG01618	1000g_EUR
HG01619	1000g_EUR
HG01620	1000g_EUR
HG01623	1000g_EUR
HG01624	1000g_EUR
HG01625	1000g_EUR
HG01626	1000g_EUR
HG01628	1000g_EUR
HG01630	1000g_EUR
HG01631	1000g_EUR
HG01632	1000g_EUR
HG01668	1000g_EUR
HG01669	1000g_EUR
HG01670	1000g_EUR
HG01672	1000g_EUR
HG01673	1000g_EUR
HG01675	1000g_EUR
HG01676	1000g_EUR
HG01678	1000g_EUR
HG01679	1000g_EUR
HG01680	1000g_EUR
HG01682	1000g_EUR
HG01684	1000g_EUR
HG01685	1000g_EUR
HG01686	1000g_EUR
HG01694	1000g_EUR
HG01695	1000g_EUR
HG01697	1000g_EUR
HG01699	1000g_EUR
HG01700	1000g_EUR
HG01702	1000g_EUR
HG01704	1000g_EUR
HG01705	1000g_EUR
HG01707	1000g_EUR
HG01708	1000g_EUR
HG01709	1000g_EUR
HG01710	1000g_EUR
HG01746	1000g_EUR
HG01747	1000g_EUR
HG01756	1000g_EUR
HG01757	1000g_EUR
HG01761	1000g_EUR
HG01762	1000g_EUR
HG01765	1000g_EUR
HG01766	1000g_EUR
HG01767	1000g_EUR
HG01768	1000g_EUR
HG01770	1000g_EUR
HG01771	1000g_EUR
HG01773	1000g_EUR
HG01775	1000g_EUR
HG01776	1000g_EUR
HG01777	1000g_EUR
HG01779	1000g_EUR
HG01781	1000g_EUR
HG01783	1000g_EUR
HG01784	1000g_EUR
HG01785	1000g_EUR
HG01786	1000g_EUR
HG01789	1000g_EUR
HG01790	1000g_EUR
HG01791	1000g_EUR
HG01794	1000g_EAS
HG01795	1000g_EAS
HG01796	1000g_EAS
HG01797	1000g_EAS
HG01798	1000g_EAS
HG01799	1000g_EAS
HG01800	1000g_EAS
HG01801	1000g_EAS
HG01802	1000g_EAS
HG01804	1000g_EAS
HG01805	1000g_EAS
HG01806	1000g_EAS
HG01807	1000g_EAS
HG01808	1000g_EAS
HG01809	1000g_EAS
HG01810	1000g_EAS
HG01811	1000g_EAS
HG01812	1000g_EAS
HG01813	1000g_EAS
HG01815	1000g_EAS
HG01816	1000g_EAS
HG01817	1000g_EAS
HG01840	1000g_EAS
HG01841	1000g_EAS
HG01842	1000g_EAS
HG01843	1000g_EAS
HG01844	1000g_EAS
HG01845	1000g_EAS
HG01846	1000g_EAS
HG01847	1000g_EAS
HG01848	1000g_EAS
HG01849	1000g_EAS
HG01850	1000g_EAS
HG01851	1000g_EAS
HG01852	1000g_EAS
HG01853	1000g_EAS
HG01855	1000g_EAS
HG01857	1000g_EAS
HG01858	1000g_EAS
HG01859	1000g_EAS
HG01860	1000g_EAS
HG01861	1000g_EAS
HG01862	1000g_EAS
HG01863	1000g_EAS
HG01864	1000g_EAS
HG01865	1000g_EAS
HG01866	1000g_EAS
HG01867	1000g_EAS
HG01868	1000g_EAS
HG01869	1000g_EAS
HG01870	1000g_EAS
HG01871	1000g_EAS
HG01872	1000g_EAS
HG01873	1000g_EAS
HG01874	1000g_EAS
HG01878	1000g_EAS
HG01879	1000g_AFR
HG01880	1000g_AFR
HG01882	1000g_AFR
HG01883	1000g_AFR
HG01885	1000g_AFR
HG01886	1000g_AFR
HG01889	1000g_AFR
HG01890	1000g_AFR
HG01892	1000g_AMR
HG01893	1000g_AMR
HG01894	1000g_AFR
HG01896	1000g_AFR
HG01912	1000g_AFR
HG01914	1000g_AFR
HG01915	1000g_AFR
